"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"A.J. Green","ARI","50.6","619.9","3.9","0.0","0.0","0.0","0.7","134.7"
"Randall Cobb","GB","50.6","611.9","3.8","1.5","7.6","0.0","0.7","134.1"
"Jamison Crowder","NYJ","53.1","594.0","3.6","0.3","3.3","0.0","0.6","133.0"
"Christian Kirk","ARI","48.0","582.2","4.1","3.9","26.9","0.0","0.6","132.6"
"Rondale Moore","ARI","49.8","616.0","3.4","1.1","6.1","0.0","1.2","130.0"
"John Brown","LV","46.4","627.9","3.6","0.3","1.0","0.0","0.6","129.4"
"Rashod Bateman","BAL","43.8","578.9","4.4","0.8","4.8","0.0","0.6","127.0"
"Parris Campbell","IND","44.3","536.6","3.3","4.8","30.0","0.1","0.4","120.9"
"Terrace Marshall Jr.","CAR","44.7","583.7","3.2","0.5","2.8","0.0","1.1","120.5"
"Darius Slayton","NYG","42.1","568.7","3.5","0.8","2.6","0.0","0.6","118.9"
"Allen Lazard","GB","40.8","551.3","3.7","1.3","9.7","0.0","0.6","117.8"
"Jakobi Meyers","NE","45.2","573.1","2.5","0.8","4.1","0.0","0.4","117.6"
"DeSean Jackson","LAR","35.5","560.1","3.6","2.8","17.1","0.1","0.6","114.1"
"Hunter Renfrow","LV","42.5","510.4","2.9","0.0","0.0","0.0","0.6","109.7"
"Anthony Miller","HOU","41.9","499.6","2.7","2.2","10.3","0.1","0.7","108.3"
"Van Jefferson","LAR","39.3","475.1","3.3","1.4","5.8","0.0","0.1","107.5"
"Josh Reynolds","TEN","36.1","469.1","3.1","0.8","4.5","0.0","0.6","100.9"
"Denzel Mims","NYJ","35.4","502.7","2.3","0.3","0.8","0.0","0.1","99.7"
"Keelan Cole Sr.","NYJ","37.0","475.9","2.6","0.0","0.0","0.0","0.5","99.5"
"Marquez Callaway","NO","37.4","456.8","2.8","0.0","0.0","0.0","0.2","99.4"
"Chris Conley","HOU","34.7","489.3","2.6","0.0","0.0","0.0","0.6","98.0"
"Amon-Ra St. Brown","DET","38.1","461.0","2.3","0.0","0.0","0.0","0.2","97.8"
"Sammy Watkins","BAL","34.9","428.8","3.3","0.8","7.5","0.0","0.6","97.3"
"D'Wayne Eskridge","SEA","34.1","419.4","3.2","1.5","8.1","0.1","0.2","95.6"
"James Washington","PIT","33.3","452.2","2.9","0.0","0.0","0.0","0.6","94.8"
"Geronimo Allison","DET","38.9","419.4","2.3","0.0","0.0","0.0","0.0","94.3"
"Demarcus Robinson","KC","34.2","410.8","3.2","0.0","0.0","0.0","0.6","93.3"
"Marquez Valdes-Scantling","GB","25.7","438.1","3.3","2.5","14.8","0.0","0.6","90.1"
"Rashard Higgins","CLE","28.8","432.1","2.9","0.0","0.0","0.0","0.6","88.2"
"Nico Collins","HOU","31.0","419.3","2.1","0.0","0.0","0.0","0.3","85.3"
